labels,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0,0.158203125,0.197265625,0.15625,0.0078125,0.0400390625,0.2724609375,0.3330078125,0.0146484375,0.8037109375,0.19140625
0,0.1767578125,0.205078125,0.015625,0.205078125,0.1455078125,0.3037109375,0.3125,0.0087890625,0.806640625,0.1865234375
0,0.1337890625,0.2080078125,0.1337890625,0.0048828125,0.1396484375,0.3046875,0.30859375,0.0048828125,0.74609375,0.240234375
0,0.025390625,0.18359375,0.18359375,0.18359375,0.0283203125,0.267578125,0.326171875,0.2275390625,0.8427734375,0.1552734375
0,0.0087890625,0.001953125,0.001953125,0.001953125,0.0087890625,0.2080078125,0.267578125,0.0,0.4853515625,0.1787109375
0,0.0,0.001953125,0.0009765625,0.0029296875,0.0,0.2421875,0.248046875,0.0,0.40234375,0.1982421875
0,0.1484375,0.201171875,0.001953125,0.19921875,0.1298828125,0.306640625,0.2998046875,0.00390625,0.787109375,0.20703125
0,0.0009765625,0.001953125,0.001953125,0.0009765625,0.0,0.2412109375,0.27734375,0.0,0.4404296875,0.189453125
0,0.1591796875,0.2109375,0.1591796875,0.2099609375,0.0107421875,0.294921875,0.3125,0.2060546875,0.8037109375,0.193359375
0,0.0009765625,0.001953125,0.0009765625,0.001953125,0.0,0.2373046875,0.265625,0.0,0.4208984375,0.205078125
0,0.001953125,0.001953125,0.0029296875,0.0009765625,0.0,0.2412109375,0.25390625,0.0,0.42578125,0.1953125
0,0.1474609375,0.2158203125,0.146484375,0.0224609375,0.154296875,0.3134765625,0.2919921875,0.0263671875,0.759765625,0.2265625
0,0.0009765625,0.00390625,0.0,0.0009765625,0.0,0.263671875,0.27734375,0.0,0.4521484375,0.19921875
0,0.171875,0.1455078125,0.1708984375,0.001953125,0.119140625,0.3271484375,0.2724609375,0.00390625,0.7587890625,0.2333984375
0,0.15234375,0.1201171875,0.1416015625,0.0185546875,0.07421875,0.2998046875,0.3232421875,0.029296875,0.7646484375,0.2333984375
0,0.1640625,0.19140625,0.14453125,0.1904296875,0.12890625,0.2685546875,0.31640625,0.2236328125,0.7890625,0.2060546875
0,0.1767578125,0.1591796875,0.1533203125,0.01171875,0.1474609375,0.2958984375,0.2958984375,0.017578125,0.79296875,0.2021484375
0,0.181640625,0.1484375,0.1806640625,0.001953125,0.150390625,0.3271484375,0.2724609375,0.0009765625,0.84375,0.15625
0,0.0009765625,0.0009765625,0.0,0.001953125,0.0009765625,0.244140625,0.2822265625,0.0,0.513671875,0.158203125
0,0.19921875,0.171875,0.001953125,0.0078125,0.171875,0.3388671875,0.2666015625,0.0048828125,0.822265625,0.16796875
